pdb,radius,compactness,openness,n_pocket_res,PC1,PC2,PC3
pdb1l2j.pdb,5.956260681152344,1.432070016860962,7.75044059753418,13,-1.6675235704042644,0.174077463703241,-0.3830998372424228
pdb1nde.pdb,6.87565803527832,0.9575816988945008,7.917522430419922,9,1.5047707194995381,-0.04207355171520454,-0.02836369074413413
pdb1qkm.pdb,6.838274955749512,0.8168503046035767,7.907769680023193,8,1.7333749799730436,-0.3709756112064953,-0.3995003494075323
pdb1u3q.pdb,7.204645156860352,0.1966660022735595,7.40131139755249,2,2.8833841112662264,-3.8193904659876825,-0.10118500336466889
pdb1u3r.pdb,6.318356990814209,1.2923734188079834,7.7374677658081055,10,-0.6754389396314969,-0.15719540926824666,0.019350631101411983
pdb1u3s.pdb,6.5941925048828125,1.380086064338684,7.92155122756958,14,0.009510163679828118,0.8263946464222491,0.38202056387919153
pdb1u9e.pdb,6.338106155395508,1.312158703804016,7.690638542175293,10,-0.7714786672106827,-0.319813031591061,0.19463944992164495
pdb1x76.pdb,6.441754341125488,1.283789873123169,7.760172367095947,10,-0.37420461193786486,-0.07313992208960761,0.19124895101351141
pdb1x78.pdb,6.3539323806762695,1.302025556564331,7.709734439849853,10,-0.6814825788469612,-0.2571253363128126,0.1642029889347939
pdb1x7b.pdb,6.4656596183776855,1.1493291854858398,7.831974983215332,8,0.11411151832900104,-0.03388214549032987,-0.20968421605415327
pdb1x7j.pdb,6.5957865715026855,1.199040770530701,7.961906909942627,9,0.5004890942967218,0.6340672521871259,-0.10496269881567635
pdb1yy4.pdb,6.3543381690979,1.284369945526123,7.726932048797607,10,-0.6078302072104179,-0.21831412583205972,0.09095341244792617
pdb1yye.pdb,6.715119361877441,1.0701731443405151,7.888633728027344,8,0.8838873530805126,0.05728143156510792,-0.02348975857773712
pdb1zaf.pdb,6.537237644195557,1.342522144317627,7.972273349761963,12,0.08143025128785397,0.9689328602948506,0.08751215303942175
pdb2fsz.pdb,6.3324174880981445,1.3879103660583496,7.86193323135376,14,-0.6277934471655747,0.5772915237193311,0.01648458536647961
pdb2giu.pdb,7.1420674324035645,0.6858463883399963,7.938787460327148,7,2.6769410227361536,-0.495058569756599,-0.17601966609793912
pdb2i0g.pdb,6.377657413482666,1.378846526145935,7.947487831115723,14,-0.35666110153945285,0.9312983256260275,-0.08669509697110019
pdb2jj3.pdb,6.409831523895264,1.4140945672988892,7.985659122467041,14,-0.30170999651842584,1.169290581899987,-0.020749699648738563
pdb2nv7.pdb,6.666051864624023,1.0985209941864014,7.928389072418213,8,0.8005270374194651,0.2862086620530553,-0.13186307931820287
pdb2qtu.pdb,6.217871189117432,1.3411493301391602,7.974884033203125,12,-0.5276315621946912,0.9698786311530219,-0.5322452028567426
pdb2yjd.pdb,6.34503698348999,1.3977261781692505,7.833927631378174,15,-0.6790886255270678,0.4759659352085103,0.1182934516527458
pdb2yly.pdb,6.4741926193237305,1.1009933948516846,7.824716567993164,7,0.22647641041921643,-0.1633036800587325,-0.2885005946322428
pdb2z4b.pdb,6.413321971893311,1.392835021018982,7.987042903900146,14,-0.24407002930139862,1.1322229824931505,-0.06497214322842639
pdb3oll.pdb,6.754461765289307,1.1642791032791138,7.634634017944336,8,0.26198030363455216,-0.8531754370981163,0.7675733821563627
pdb3ols.pdb,6.1224517822265625,1.2970539331436155,7.295774936676025,12,-1.9068565394233126,-2.0694204926750324,0.5287170907712849
pdb3omo.pdb,6.560132026672363,1.3485444784164429,7.76790714263916,16,-0.277682607154668,0.09469865609669621,0.5493153347261727
pdb3omp.pdb,6.573886871337891,1.3605209589004517,7.8881916999816895,16,-0.04892893139149995,0.6414052905866737,0.36481255211017366
pdb3omq.pdb,6.605363845825195,1.38182270526886,7.923659801483154,16,0.031176773193163105,0.83933757688067,0.4031730711263651
pdb4j24.pdb,4.930453300476074,1.6085035800933838,7.100263595581055,10,-5.290069212997522,-2.3141135921746616,-0.6611121504283252
pdb4j26.pdb,6.572709083557129,1.142147183418274,7.997435569763184,7,0.6527799946758461,0.6722287900880152,-0.3483432081445549
pdb4zi1.pdb,7.086627006530762,0.5885867476463318,7.95339822769165,9,2.8184318543758042,-0.6303989042480311,-0.5314375563918772
pdb5toa.pdb,6.177803039550781,1.389090061187744,7.960899829864502,13,-0.7405448204453792,1.005549236695055,-0.472676449659386
pdb7xvy.pdb,6.607503414154053,1.1449360847473145,7.723535060882568,8,0.1914146812152014,-0.5100836463677948,0.2664868484133104
pdb7xvz.pdb,6.517519474029541,1.1446775197982788,7.657736301422119,8,-0.10735172495103212,-0.7983337397148149,0.22378919662114174
pdb7xwp.pdb,6.4537763595581055,1.2477210760116575,7.894739151000977,8,-0.012509906933417648,0.43798283320006265,-0.13368421985106674
pdb7xwq.pdb,6.585679531097412,1.2680344581604004,7.912273406982422,8,0.22971046769481213,0.5584604311413359,0.1302009239771332
pdb7xwr.pdb,6.622008323669434,1.284320831298828,7.930898666381836,10,0.2984603440081896,0.6732245505731148,0.19981003417585597
